Date,USD,EUR,RUB
01/01/2026,0.74219,0.87205,0.009394294
02/01/2026,0.7425007,0.871,0.009230839
03/01/2026,0.7425007,0.8708,0.009230839
04/01/2026,0.74416,0.8708,0.009180978
05/01/2026,0.73888,0.86557,0.009121245
06/01/2026,0.74071,0.86571,0.00920164
07/01/2026,0.74298,0.86757,0.009231032
08/01/2026,0.7441584,0.86758,0.009246325
09/01/2026,0.745879,0.86775,0.009407577
10/01/2026,0.745879,0.86775,0.009407577
11/01/2026,0.74663,0.86775,0.009434153
12/01/2026,0.742665,0.866445,0.009481813
13/01/2026,0.744825,0.86717,0.009458161
14/01/2026,0.74395,0.866465,0.009478461
15/01/2026,0.74734,0.86755,0.009550732
16/01/2026,0.7472166,0.86755,0.009608204
17/01/2026,0.7470771,0.86725,0.009592106
18/01/2026,0.74609,0.867315,0.009594985
19/01/2026,0.74528,0.86742,0.009617525
20/01/2026,0.7441,0.86742,0.00953243
21/01/2026,0.745235,0.86987,0.00967861
22/01/2026,0.740715,0.86987,0.009746215
23/01/2026,0.7328692,0.86665,0.009715305
24/01/2026,0.7328692,0.8667,0.009715305
25/01/2026,0.73196,0.8667,0.009768626
26/01/2026,0.73117,0.8667,0.009554453
27/01/2026,0.723385,0.86931,0.009487085
28/01/2026,0.72337,0.86931,0.009450319
29/01/2026,0.72435,0.866725,0.009626005
30/01/2026,0.7303002,0.86595,0.009561678
31/01/2026,0.7303535,0.86595,0.009561678
01/02/2026,0.731095,0.86595,0.009569945
02/02/2026,0.7314,0.862925,0.009567692
03/02/2026,0.7301,0.862925,0.00948136
04/02/2026,0.73295,0.86497,0.009610992
05/02/2026,0.73965,0.87115,0.009635715
06/02/2026,0.7344571,0.86865,0.009564134
07/02/2026,0.7344571,0.86865,0.009564134
08/02/2026,0.73485,0.86865,0.00957131
09/02/2026,0.73486,0.86884,0.009569974
